Unit_Bid,Bid Price ($/MWh),Assigned Power (MW),Cumulative Power (MW)
1,43.136882481836764,254.55222793220713,254.55222793220713
2,33.314328195616184,318.8146660474628,573.36689397967
3,32.931888410593494,290.0885589096459,863.4554528893159
4,25.52406798773081,363.23817619359187,1226.6936290829078
5,21.394178477117322,300.3530362696359,1527.0466653525436
6,18.54021883038557,348.2263281423206,1875.2729934948643
7,18.329840236734153,326.3542311078151,2201.6272246026792
8,18.052030798057526,298.37277539732037,2499.9999999999995
9,17.316680851295246,82.16611536723458,2582.166115367234
10,9.906599711996106,230.87513235395133,2813.0412477211853
11,9.878417667065708,170.21668920997297,2983.2579369311584
12,0.0,141.74206306884113,3124.9999999999995
